id,host_id,host_name,neighbourhood_cleansed,city,latitude,longitude,price,number_of_reviews,review_scores_rating
12927298,68001856,Laura,Roslindale,Boston,42.29061655718749,-71.13273461483398,285.0,2,80.0
169938,809859,Lisa,Jamaica Plain,Boston,42.313791962580474,-71.1033874115732,140.0,1,
594693,2139546,Robin,Jamaica Plain,Boston,42.307974813109155,-71.11622135298697,70.0,23,93.0
2384581,12083797,Molly,Jamaica Plain,Boston,42.309356585821945,-71.11682730260223,95.0,14,93.0
735970,3840038,Sidney,Jamaica Plain,Boston,42.316912213905745,-71.1130254234823,55.0,3,100.0
4262255,21873698,Elizabeth,Jamaica Plain,Boston,42.303984557617724,-71.10449360644688,80.0,57,99.0
4000384,10910804,Evelyn,Jamaica Plain,Boston,42.31632875548343,-71.09909641577437,120.0,58,97.0
6693305,14303759,Susan,Jamaica Plain,Boston,42.320022523679384,-71.10594049773768,65.0,1,100.0
6730758,207475,Danielle&Peder,Jamaica Plain,Boston,42.31451961008171,-71.10558689277725,100.0,46,97.0
6248970,32449720,Shawn,Jamaica Plain,Boston,42.321719666668685,-71.10345881692874,65.0,68,96.0
12806707,4263511,Miriam,Jamaica Plain,Boston,42.31679060385281,-71.11563042909579,60.0,0,
14246616,5055078,Ashley,Jamaica Plain,Boston,42.31951000434093,-71.10537660326158,63.0,3,73.0
3703674,9350281,Emily,Jamaica Plain,Boston,42.3152745679209,-71.11331605532412,75.0,4,100.0
4792901,24701232,Robert,Jamaica Plain,Boston,42.315499530265065,-71.11706562488624,65.0,2,90.0
5717528,7394101,Diane,Jamaica Plain,Boston,42.31690480739987,-71.10519470648515,110.0,7,94.0
5601743,19280995,Kaitlin,Jamaica Plain,Boston,42.31189728557806,-71.10315398376997,46.0,18,82.0
13333862,5215706,Alexis,Jamaica Plain,Boston,42.31706413362148,-71.10358571999897,75.0,0,
519272,2444900,David,Jamaica Plain,Boston,42.30510762836565,-71.1064329714123,62.0,9,98.0
14090779,6104362,Vera,Jamaica Plain,Boston,42.315907278454304,-71.11327327945847,69.0,0,
8481291,8167936,Siqi,Jamaica Plain,Boston,42.31265281789585,-71.0997233961363,69.0,4,100.0
6990904,16337422,Orion,Jamaica Plain,Boston,42.315300707630975,-71.09976783089705,73.0,19,99.0
197727,964356,Jill,Jamaica Plain,Boston,42.3131970326139,-71.11832362091809,85.0,22,99.0
932853,5028116,Jason,Jamaica Plain,Boston,42.31421511820314,-71.10940661048757,120.0,17,96.0
11159585,57514323,Mark,Jamaica Plain,Boston,42.31256675906354,-71.12607998917959,125.0,1,100.0
9677354,391664,Nora,Jamaica Plain,Boston,42.316784624886786,-71.10731719179363,70.0,7,93.0
13426831,17401715,Margo,Jamaica Plain,Boston,42.31362611091293,-71.10819524530064,100.0,0,
7956634,8154081,Cezanne,Jamaica Plain,Boston,42.30370464676229,-71.11397057117235,61.0,7,97.0
568234,2796082,Margaret,Jamaica Plain,Boston,42.30334665895726,-71.10497371588909,125.0,132,97.0
1030500,5670669,Kelly,Jamaica Plain,Boston,42.29106052288582,-71.11593555432006,100.0,14,88.0
13652374,27860683,Anú,Jamaica Plain,Boston,42.29763812447256,-71.11399252456933,27.0,0,
12930651,5580771,Alison (& Shawn),Jamaica Plain,Boston,42.305376789378734,-71.11324413343733,80.0,12,98.0
3997572,1805868,Zachary,Jamaica Plain,Boston,42.31449926702607,-71.1122319203949,85.0,3,100.0
4223387,5689782,Cora,Jamaica Plain,Boston,42.31738706631696,-71.10003065912305,75.0,43,91.0
12855396,16052189,Jonathan,Jamaica Plain,Boston,42.32423675203393,-71.10812404783636,57.0,1,20.0
12426823,17549950,Mariana,Jamaica Plain,Boston,42.322198384693365,-71.10629670951586,100.0,0,
14361322,19056916,Mattaya,Jamaica Plain,Boston,42.32284647416693,-71.10517194647886,40.0,0,
2963419,15123694,Lucia,Jamaica Plain,Boston,42.31803897447978,-71.11687373250301,100.0,20,98.0
5904732,987917,Helder,Jamaica Plain,Boston,42.314064798157865,-71.09905545857005,70.0,9,93.0
3591359,9662986,Wilke,Jamaica Plain,Boston,42.325668119032656,-71.10543388992956,190.0,26,95.0
2538536,16067950,Moshe,Jamaica Plain,Boston,42.3248744740374,-71.10556705192403,149.0,17,95.0
4975581,12937716,Jean-Ellen,Jamaica Plain,Boston,42.32038118596349,-71.11270172682764,168.0,47,94.0
4767023,24593919,Minor,Jamaica Plain,Boston,42.32327560623326,-71.1070588160843,205.0,9,87.0
6364042,987917,Helder,Jamaica Plain,Boston,42.31362383219926,-71.09821200812918,65.0,17,92.0
7986179,20040612,Jared,Jamaica Plain,Boston,42.321577937137754,-71.1141153320651,75.0,5,92.0
14109003,22290246,Kevin,Jamaica Plain,Boston,42.32267988827825,-71.11561971775167,117.0,0,
1109224,1531239,Lita,Jamaica Plain,Boston,42.320510860484134,-71.11215759278208,429.0,35,91.0
1067184,848706,Phyllis,Jamaica Plain,Boston,42.30633268571335,-71.11902460456069,95.0,53,95.0
13215952,19798741,Pam,Jamaica Plain,Boston,42.309920555941154,-71.11072691758285,69.0,0,
777903,4102281,Monroe,Jamaica Plain,Boston,42.30757425614119,-71.13463036679991,85.0,17,94.0
1301500,3578624,Karen,Jamaica Plain,Boston,42.30997682845222,-71.10962020956268,69.0,13,100.0
8923817,45402419,Jil,Jamaica Plain,Boston,42.30907389692646,-71.11254191159419,165.0,9,93.0
14057466,30314324,Eileen,Jamaica Plain,Boston,42.31357233912847,-71.11381932640091,150.0,2,90.0
14909417,93635490,Isaac,Jamaica Plain,Boston,42.2964450759094,-71.11118779742438,267.0,0,
5521378,25636575,Karin,Jamaica Plain,Boston,42.31169373635401,-71.10116460144604,87.0,6,97.0
13041602,72132089,Hannah,Jamaica Plain,Boston,42.29985744012215,-71.11235604348677,62.0,20,96.0
2621242,13424353,Leo,Jamaica Plain,Boston,42.31842255393602,-71.105505307545,110.0,6,97.0
950046,5153431,Katie And Joe,Jamaica Plain,Boston,42.311852721337,-71.10926318625519,250.0,6,90.0
3342094,1922657,Catherine,Jamaica Plain,Boston,42.317370192680336,-71.11485898821759,150.0,14,97.0
5652147,352441,Lillie,Jamaica Plain,Boston,42.30704884694953,-71.1166241277204,300.0,3,93.0
14105971,79103444,Bruce,Jamaica Plain,Boston,42.30906284664378,-71.11141973305921,119.0,13,100.0
2875267,14696258,Sarah,Jamaica Plain,Boston,42.30883693983967,-71.11935092313678,175.0,148,99.0
9485607,1498417,Chad,Jamaica Plain,Boston,42.31923482819862,-71.10501593588094,195.0,24,96.0
7273770,4191762,Jeff,Jamaica Plain,Boston,42.30606393566502,-71.11516053902132,145.0,4,90.0
5405928,1169936,Laura,Jamaica Plain,Boston,42.30398160452899,-71.11848461147696,200.0,10,92.0
4586681,12795084,Lynne,Jamaica Plain,Boston,42.314827484606575,-71.11295481151114,90.0,42,99.0
1113272,3676936,Roberto,Jamaica Plain,Boston,42.3048433293264,-71.10627115826995,210.0,41,94.0
12647606,55603,Ashley,Jamaica Plain,Boston,42.31337132584918,-71.11089129130822,75.0,8,100.0
10271867,52274002,Julia,Jamaica Plain,Boston,42.32357026201424,-71.10670813435179,46.0,2,90.0
7879708,7594805,Julia,Jamaica Plain,Boston,42.29559333963887,-71.11530145575897,75.0,12,100.0
3881993,11487565,Josefa,Jamaica Plain,Boston,42.30433800980035,-71.10871729533055,500.0,8,89.0
12566065,68125441,Katie,Jamaica Plain,Boston,42.30443377187232,-71.10967688765845,60.0,4,90.0
6602217,24584716,Miriam,Jamaica Plain,Boston,42.323095687396346,-71.10851426561025,130.0,66,90.0
3276286,15760345,Balint,Jamaica Plain,Boston,42.311471674493305,-71.10529985856851,190.0,39,88.0
2014651,2155838,Molly,Jamaica Plain,Boston,42.30711033673986,-71.10582362671403,100.0,24,91.0
6053700,31247560,Sybil,Jamaica Plain,Boston,42.30983484647106,-71.11457927159456,450.0,2,100.0
4405982,21644095,David,Jamaica Plain,Boston,42.318072566888496,-71.11267005505267,399.0,18,99.0
250983,8021,L&B (Len & Becky Or Blenky*),Jamaica Plain,Boston,42.323942224420435,-71.10820204241452,350.0,13,98.0
2308630,5448841,Andrew,Jamaica Plain,Boston,42.309049862943375,-71.11253858596702,200.0,32,98.0
8272350,37835016,Erin,Jamaica Plain,Boston,42.32004366635828,-71.10784415823343,99.0,2,100.0
12368012,66824316,Patrick,Jamaica Plain,Boston,42.308717208857495,-71.11051775662285,295.0,0,
4098410,11487565,Josefa,Jamaica Plain,Boston,42.305088311340114,-71.10735816883991,107.0,20,81.0
6322283,19798741,Pam,Jamaica Plain,Boston,42.30794791179289,-71.10929998832164,69.0,18,96.0
7823025,4595799,Fivos,Jamaica Plain,Boston,42.309701158494384,-71.11833423971592,76.0,57,92.0
9549850,49453306,Gail,Jamaica Plain,Boston,42.320809392430675,-71.10730266023941,75.0,48,95.0
7845607,38120441,Jacob,Jamaica Plain,Boston,42.315797659023744,-71.11696299856979,55.0,9,78.0
14071446,18896448,Sandy,Jamaica Plain,Boston,42.32249608513066,-71.11475792071663,65.0,2,100.0
14218904,6104362,Vera,Jamaica Plain,Boston,42.318054676409226,-71.1118693618817,59.0,1,
11826815,18807469,Derian,Jamaica Plain,Boston,42.29956291644425,-71.11283944617206,88.0,5,96.0
13334098,1176152,Josh,Jamaica Plain,Boston,42.30988682257417,-71.11789702317628,164.0,0,
4765070,24584716,Miriam,Jamaica Plain,Boston,42.32508878303933,-71.10722979809752,90.0,139,93.0
2880944,5052732,Josh+Kate,Jamaica Plain,Boston,42.313951405843575,-71.11600891554467,185.0,4,100.0
9532771,49365462,Andrea,Jamaica Plain,Boston,42.32324289956977,-71.11357115025135,80.0,0,
10253591,32071442,Sarah,Jamaica Plain,Boston,42.31838301910418,-71.10187809594295,105.0,21,91.0
1881298,1920539,Caitlin & Dan,Jamaica Plain,Boston,42.30026388087917,-71.11180739447572,90.0,192,95.0
210097,1035747,Maria Elena,Jamaica Plain,Boston,42.318635400684855,-71.10640627596929,100.0,115,97.0
6059968,5028116,Jason,Jamaica Plain,Boston,42.31359024362312,-71.10911529916937,100.0,10,98.0
6862758,35962316,Zack,Jamaica Plain,Boston,42.31813877306128,-71.1036735352925,200.0,11,100.0
799701,4210157,Marian,Jamaica Plain,Boston,42.32085835010096,-71.11249877013331,300.0,2,100.0
6862594,10608570,Edward,Jamaica Plain,Boston,42.31926520385325,-71.11324623810819,60.0,0,
9057435,47251069,David,Jamaica Plain,Boston,42.31433571613884,-71.11641497800227,319.0,6,100.0
750438,3945438,Lisa,Jamaica Plain,Boston,42.306811532274814,-71.1105244224708,85.0,91,96.0
12874603,48719428,Diego,Jamaica Plain,Boston,42.32267197982334,-71.10078611527362,70.0,10,74.0
12727401,69203736,Jason,Jamaica Plain,Boston,42.30977751293719,-71.11879574479485,50.0,2,60.0
2077794,1500300,Anya,Jamaica Plain,Boston,42.304424401841324,-71.11429863527867,119.0,14,86.0
9712731,28193547,Jordan,Jamaica Plain,Boston,42.325511669688346,-71.11320967171939,125.0,2,100.0
13677640,79610778,Kristen,Jamaica Plain,Boston,42.3112105796256,-71.10200966765208,53.0,5,80.0
3371091,1922657,Catherine,Jamaica Plain,Boston,42.31874257570903,-71.11599745541506,125.0,13,95.0
13512551,77569960,Margaret,Jamaica Plain,Boston,42.30595863609247,-71.13230207833683,199.0,1,100.0
732999,3817361,Alishya,Jamaica Plain,Boston,42.30455930241627,-71.11364252468704,205.0,14,97.0
6106955,1622932,Cara,Jamaica Plain,Boston,42.30873579543035,-71.09977036667159,114.0,8,95.0
2698996,13812113,Ray,Jamaica Plain,Boston,42.31567994817808,-71.11520100639541,75.0,131,98.0
27611,119381,Gordon And Alexandra,Jamaica Plain,Boston,42.31556511657293,-71.11482700886869,185.0,8,86.0
4025194,1480518,Lisa,Jamaica Plain,Boston,42.29572299757349,-71.11942117574478,75.0,150,97.0
8336364,18807764,Dar,Jamaica Plain,Boston,42.31199460127128,-71.11045089791808,180.0,0,
12071820,64682226,Daniel,Jamaica Plain,Boston,42.3068796497014,-71.11231783776945,70.0,5,96.0
7910223,30490577,Lori,Jamaica Plain,Boston,42.315922709721605,-71.09957962869748,150.0,71,96.0
4567815,3381838,Eliza,Jamaica Plain,Boston,42.30653907278417,-71.11789285939362,120.0,10,96.0
12022134,19342870,Rolvix,Jamaica Plain,Boston,42.308615263510774,-71.11488311298572,92.0,1,100.0
13513012,32784275,Manuel,Jamaica Plain,Boston,42.29877631582161,-71.11159713499715,84.0,6,100.0
3730447,9329890,Andrew,Jamaica Plain,Boston,42.2974047973222,-71.1139137340823,200.0,29,89.0
4149974,8498315,Joe/Ayad,Jamaica Plain,Boston,42.31796621180112,-71.1115346411253,115.0,70,96.0
14933380,28193547,Jordan,Jamaica Plain,Boston,42.32489117729767,-71.11344012878439,49.0,0,
6238463,31691830,Penny,Jamaica Plain,Boston,42.31590400933113,-71.11404802615597,95.0,25,98.0
1929406,9991368,Caitlin,Jamaica Plain,Boston,42.31274187654604,-71.11201449929162,275.0,1,100.0
4583526,23759488,Tricia,Jamaica Plain,Boston,42.30454928375496,-71.11553158945944,230.0,75,97.0
7287822,17844905,Susie,Jamaica Plain,Boston,42.31527368629765,-71.10846155035345,130.0,59,99.0
8354938,206353,Perry,Jamaica Plain,Boston,42.31465541166664,-71.09929095218234,192.0,20,93.0
5025015,25932315,Heriberto,Jamaica Plain,Boston,42.32504873048671,-71.1062960870443,175.0,99,85.0
4452800,9329890,Andrew,Jamaica Plain,Boston,42.295549244538655,-71.11354968974973,70.0,2,80.0
7554801,14840087,Carey,Jamaica Plain,Boston,42.32235541314952,-71.10672991341261,65.0,6,100.0
9349646,3900945,Emily And Carl,Jamaica Plain,Boston,42.30571166319029,-71.1056671002783,100.0,1,100.0
6386351,33289576,Michael,Jamaica Plain,Boston,42.30248683101914,-71.11331372851822,185.0,0,
5124772,1450086,Peter,Jamaica Plain,Boston,42.318676992266276,-71.100333066673,250.0,3,87.0
3977877,14993032,Leah,Jamaica Plain,Boston,42.31762621945572,-71.10865424017277,110.0,3,93.0
1754939,9228417,Alice,Jamaica Plain,Boston,42.31227026019718,-71.10086090909755,150.0,0,
6602167,24584716,Miriam,Jamaica Plain,Boston,42.32527016657306,-71.10701088601905,168.0,23,89.0
3987926,1480518,Lisa,Jamaica Plain,Boston,42.295586946398714,-71.11941563945955,60.0,169,98.0
5729845,29709417,Jon,Jamaica Plain,Boston,42.29812412303772,-71.11413548740815,59.0,47,90.0
9727523,50199143,Paul,Jamaica Plain,Boston,42.31753771012777,-71.10845721836117,60.0,15,91.0
12463555,67325902,Brooke,Jamaica Plain,Boston,42.30683414172092,-71.11331230827804,145.0,7,94.0
9137560,47588894,Rebecca,Jamaica Plain,Boston,42.30720226358175,-71.11958890231001,80.0,1,100.0
3616081,18190121,Andrea,Jamaica Plain,Boston,42.31961968865941,-71.10482911031056,114.0,127,97.0
8908145,45402419,Jil,Jamaica Plain,Boston,42.31026209376064,-71.11257439993145,170.0,2,80.0
554720,2727109,Tom,Jamaica Plain,Boston,42.3185688067565,-71.11415408323548,240.0,108,95.0
1551467,1106261,Jonas,Jamaica Plain,Boston,42.31012523517614,-71.1028771953959,150.0,5,95.0
7743569,4595799,Fivos,Jamaica Plain,Boston,42.309502299330454,-71.11675448454865,69.0,11,98.0
732932,3817361,Alishya,Jamaica Plain,Boston,42.30376309732182,-71.1140026250641,80.0,18,95.0
749247,3920014,Patti And Javier,Jamaica Plain,Boston,42.313430537633096,-71.10571836582744,85.0,62,97.0
667325,869131,Maura,Jamaica Plain,Boston,42.308948421885546,-71.11416180689504,75.0,58,92.0
9349614,3900945,Emily And Carl,Jamaica Plain,Boston,42.306396022523614,-71.10593528533563,150.0,1,80.0
10627514,16337422,Orion,Jamaica Plain,Boston,42.31551268554925,-71.10157722722015,70.0,2,90.0
1885825,6391436,Robin And Victoria,Jamaica Plain,Boston,42.30932885567064,-71.11764280445091,80.0,97,96.0
9906565,6807512,Sarah,Jamaica Plain,Boston,42.31097645315618,-71.1041618575167,225.0,0,
629814,3129367,Louis,Jamaica Plain,Boston,42.31686601781735,-71.10254447357468,225.0,8,100.0
1222327,6668129,Charles,Jamaica Plain,Boston,42.3247317393277,-71.10791787889553,178.0,2,100.0
10299047,52989144,Brian,Jamaica Plain,Boston,42.31308411868998,-71.10511677573426,175.0,13,94.0
9463444,48936696,Sarah,Jamaica Plain,Boston,42.30918196271777,-71.1104931014882,109.0,16,100.0
6465075,635157,Catlin,Jamaica Plain,Boston,42.297155077033906,-71.11190355685281,383.0,20,94.0
8932377,26023138,Sherry,Jamaica Plain,Boston,42.319510898734436,-71.11460121899208,90.0,0,
9577988,557469,Gerald,Jamaica Plain,Boston,42.32243105263224,-71.1132655769392,99.0,23,97.0
9971054,51236938,Vanessa,Jamaica Plain,Boston,42.30337106614937,-71.11500731218838,50.0,9,91.0
7348110,29531596,Marcus,Jamaica Plain,Boston,42.32436433918023,-71.10262149236247,300.0,16,93.0
7790454,869131,Maura,Jamaica Plain,Boston,42.30881607884145,-71.11392840097395,184.0,0,
3021446,113091,Nina And Mike,Jamaica Plain,Boston,42.31846334578228,-71.10792704855353,80.0,107,92.0
7708436,236790,Ann,Jamaica Plain,Boston,42.30983835275251,-71.10752400155785,85.0,26,97.0
11514237,15172911,Zoe,Jamaica Plain,Boston,42.311909365907724,-71.10675529422124,150.0,10,98.0
13363171,5215706,Alexis,Jamaica Plain,Boston,42.31552925725239,-71.10240299583323,100.0,1,100.0
11946029,27112758,Joe,Jamaica Plain,Boston,42.3218635717984,-71.10374748421249,100.0,8,93.0
6019555,2810446,Danielle,Jamaica Plain,Boston,42.298580472443454,-71.11026724947551,84.0,31,97.0
12052288,31655122,Bonnie,Jamaica Plain,Boston,42.31627330224815,-71.10215681045173,130.0,32,98.0
9676551,22249835,Sean,Jamaica Plain,Boston,42.31614912702236,-71.10503627122522,76.0,84,95.0
12789527,5965548,Colombine,Jamaica Plain,Boston,42.31218842736296,-71.10566184357903,100.0,1,100.0
12855005,12164071,Cynthia,Jamaica Plain,Boston,42.31342150080405,-71.10711860330036,70.0,7,100.0
1631942,4147257,Jenn,Jamaica Plain,Boston,42.3113139741088,-71.1161706912694,125.0,18,96.0
2884903,14743729,David,Jamaica Plain,Boston,42.30557707947496,-71.11367642052262,70.0,6,94.0
14868157,30490577,Lori,Jamaica Plain,Boston,42.316052291214056,-71.09932133876652,75.0,0,
13344433,13897255,Chris,Jamaica Plain,Boston,42.30637132044274,-71.11350717401693,170.0,9,98.0
40601,174986,Robert,Jamaica Plain,Boston,42.31509938985096,-71.11107897137123,95.0,55,100.0
12033661,4852286,Marie-Jose,Jamaica Plain,Boston,42.30649689949284,-71.1116203010471,70.0,10,100.0
6298216,32750893,Jenny,Jamaica Plain,Boston,42.319226619133296,-71.10886890206302,299.0,0,
12868343,2753598,Celia,Jamaica Plain,Boston,42.30361487406617,-71.12921449284401,70.0,0,
14474750,79575198,Jeff,Jamaica Plain,Boston,42.31179031925349,-71.12132702991566,155.0,0,
6921672,36278389,Jessica,Jamaica Plain,Boston,42.32133486634611,-71.1077732004827,250.0,1,100.0
2219399,1624549,Andrew,Jamaica Plain,Boston,42.300734044135574,-71.11431096653907,115.0,49,95.0
336960,1713739,Andree,Jamaica Plain,Boston,42.28965254884459,-71.11472079034709,70.0,145,92.0
336946,1713739,Andree,Jamaica Plain,Boston,42.28825811306717,-71.11306691796358,135.0,68,93.0
